=== SIMPLE_TEST BS=1 ===
T  6: 0.001033000000000 s
T  7: 0.001683000000000 s
T  8: 0.001030000000000 s
T  9: 0.001235000000000 s
T 10: 0.001053000000000 s
T 11: 0.001679000000000 s
T 12: 0.001061000000000 s
T 13: 0.001029000000000 s
T 14: 0.001033000000000 s
T 15: 0.001174000000000 s
T 16: 0.001741000000000 s
T 17: 0.001680000000000 s
T 18: 0.001717000000000 s
T 19: 0.001730000000000 s

=== BLOCK_TRAVERSAL_FOR BS=VEC_LEN/NT ===
success
T  0: 0.002123000000000 s
T  1: 0.002127000000000 s
T  2: 0.002123000000000 s
T  3: 0.002122000000000 s
T  4: 0.002123000000000 s
T  5: 0.002122000000000 s
T  6: 0.002146000000000 s
T  7: 0.002124000000000 s
T  8: 0.003087000000000 s
T  9: 0.002157000000000 s
T 10: 0.002128000000000 s
T 11: 0.003063000000000 s
T 12: 0.003094000000000 s
T 13: 0.002125000000000 s
T 14: 0.002123000000000 s
T 15: 0.003553000000000 s
T 16: 0.002949000000000 s
T 17: 0.002963000000000 s
T 18: 0.002962000000000 s
T 19: 0.002955000000000 s

=== BLOCK_TRAVERSAL_FOR BS=\(VEC_LEN/NT\)+1 ===
success
T  0: 0.001674000000000 s
T  1: 0.001663000000000 s
T  2: 0.001676000000000 s
T  3: 0.001682000000000 s
T  4: 0.001685000000000 s
T  5: 0.001699000000000 s
T  6: 0.001701000000000 s
T  7: 0.001713000000000 s
T  8: 0.002361000000000 s
T  9: 0.001727000000000 s
T 10: 0.001748000000000 s
T 11: 0.002589000000000 s
T 12: 0.001771000000000 s
T 13: 0.001788000000000 s
T 14: 0.002505000000000 s
T 15: 0.001767000000000 s
T 16: 0.002401000000000 s
T 17: 0.002433000000000 s
T 18: 0.002397000000000 s
T 19: 0.002491000000000 s

=== BLOCK_TRAVERSAL_FOR_SPLIT BS=1 ===
success
T  0: 0.001037000000000 s
T  1: 0.001033000000000 s
T  2: 0.001038000000000 s
T  3: 0.001037000000000 s
T  4: 0.001029000000000 s
T  5: 0.001031000000000 s
T  6: 0.001036000000000 s
T  7: 0.001043000000000 s
T  8: 0.001041000000000 s
T  9: 0.001035000000000 s
T 10: 0.001712000000000 s
T 11: 0.001093000000000 s
T 12: 0.001047000000000 s
T 13: 0.001048000000000 s
T 14: 0.001061000000000 s
T 15: 0.001035000000000 s
T 16: 0.001951000000000 s
T 17: 0.001912000000000 s
